date,AdrActCnt
2023-05-21 00:00:00+00:00,775828.0
2023-05-22 00:00:00+00:00,817592.0
2023-05-23 00:00:00+00:00,859507.0
2023-05-24 00:00:00+00:00,859470.0
2023-05-25 00:00:00+00:00,923963.0
2023-05-26 00:00:00+00:00,963216.0
2023-05-27 00:00:00+00:00,877266.0
2023-05-28 00:00:00+00:00,863880.0
2023-05-29 00:00:00+00:00,912071.0
2023-05-30 00:00:00+00:00,959148.0
2023-05-31 00:00:00+00:00,925966.0
2023-06-01 00:00:00+00:00,919298.0
2023-06-02 00:00:00+00:00,982760.0
2023-06-03 00:00:00+00:00,873884.0
2023-06-04 00:00:00+00:00,879948.0
2023-06-05 00:00:00+00:00,884289.0
2023-06-06 00:00:00+00:00,1032895.0
2023-06-07 00:00:00+00:00,1004588.0
2023-06-08 00:00:00+00:00,964762.0
2023-06-09 00:00:00+00:00,1020140.0
2023-06-10 00:00:00+00:00,943047.0
2023-06-11 00:00:00+00:00,872589.0
2023-06-12 00:00:00+00:00,985947.0
2023-06-13 00:00:00+00:00,933842.0
2023-06-14 00:00:00+00:00,828183.0
2023-06-15 00:00:00+00:00,919869.0
2023-06-16 00:00:00+00:00,958674.0
2023-06-17 00:00:00+00:00,863600.0
2023-06-18 00:00:00+00:00,883864.0
2023-06-19 00:00:00+00:00,920552.0
2023-06-20 00:00:00+00:00,951926.0
2023-06-21 00:00:00+00:00,920555.0
2023-06-22 00:00:00+00:00,1000988.0
2023-06-23 00:00:00+00:00,948738.0
2023-06-24 00:00:00+00:00,1011110.0
2023-06-25 00:00:00+00:00,944147.0
2023-06-26 00:00:00+00:00,998904.0
2023-06-27 00:00:00+00:00,978594.0
2023-06-28 00:00:00+00:00,826245.0
2023-06-29 00:00:00+00:00,970467.0
2023-06-30 00:00:00+00:00,1067040.0
2023-07-01 00:00:00+00:00,918349.0
2023-07-02 00:00:00+00:00,997177.0
2023-07-03 00:00:00+00:00,977874.0
2023-07-04 00:00:00+00:00,963366.0
2023-07-05 00:00:00+00:00,964759.0
2023-07-06 00:00:00+00:00,973154.0
2023-07-07 00:00:00+00:00,1021136.0
2023-07-08 00:00:00+00:00,1009931.0
2023-07-09 00:00:00+00:00,978223.0
2023-07-10 00:00:00+00:00,925790.0
2023-07-11 00:00:00+00:00,937945.0
2023-07-12 00:00:00+00:00,942309.0
2023-07-13 00:00:00+00:00,874515.0
2023-07-14 00:00:00+00:00,996373.0
2023-07-15 00:00:00+00:00,914738.0
2023-07-16 00:00:00+00:00,927843.0
2023-07-17 00:00:00+00:00,931087.0
2023-07-18 00:00:00+00:00,1028951.0
2023-07-19 00:00:00+00:00,969285.0
2023-07-20 00:00:00+00:00,901211.0
2023-07-21 00:00:00+00:00,855163.0
2023-07-22 00:00:00+00:00,923147.0
2023-07-23 00:00:00+00:00,894084.0
2023-07-24 00:00:00+00:00,938461.0
2023-07-25 00:00:00+00:00,940528.0
2023-07-26 00:00:00+00:00,1015337.0
2023-07-27 00:00:00+00:00,943734.0
2023-07-28 00:00:00+00:00,948590.0
2023-07-29 00:00:00+00:00,889450.0
2023-07-30 00:00:00+00:00,1010937.0
2023-07-31 00:00:00+00:00,922082.0
2023-08-01 00:00:00+00:00,983005.0
2023-08-02 00:00:00+00:00,1069904.0
2023-08-03 00:00:00+00:00,1030326.0
2023-08-04 00:00:00+00:00,912508.0
2023-08-05 00:00:00+00:00,992041.0
2023-08-06 00:00:00+00:00,973822.0
2023-08-07 00:00:00+00:00,952272.0
2023-08-08 00:00:00+00:00,874562.0
2023-08-09 00:00:00+00:00,1057273.0
2023-08-10 00:00:00+00:00,947623.0
2023-08-11 00:00:00+00:00,954168.0
2023-08-12 00:00:00+00:00,926800.0
2023-08-13 00:00:00+00:00,860881.0
2023-08-14 00:00:00+00:00,1007719.0
2023-08-15 00:00:00+00:00,1073564.0
2023-08-16 00:00:00+00:00,947796.0
2023-08-17 00:00:00+00:00,1050502.0
2023-08-18 00:00:00+00:00,1016460.0
2023-08-19 00:00:00+00:00,878361.0
2023-08-20 00:00:00+00:00,929724.0
2023-08-21 00:00:00+00:00,1002377.0
2023-08-22 00:00:00+00:00,922178.0
2023-08-23 00:00:00+00:00,937656.0
2023-08-24 00:00:00+00:00,946410.0
2023-08-25 00:00:00+00:00,922155.0
2023-08-26 00:00:00+00:00,917123.0
2023-08-27 00:00:00+00:00,808508.0
2023-08-28 00:00:00+00:00,873786.0
2023-08-29 00:00:00+00:00,1060996.0
2023-08-30 00:00:00+00:00,877649.0
2023-08-31 00:00:00+00:00,968985.0
2023-09-01 00:00:00+00:00,1051172.0
2023-09-02 00:00:00+00:00,955720.0
2023-09-03 00:00:00+00:00,864433.0
2023-09-04 00:00:00+00:00,920027.0
2023-09-05 00:00:00+00:00,940913.0
2023-09-06 00:00:00+00:00,1001123.0
2023-09-07 00:00:00+00:00,1003310.0
2023-09-08 00:00:00+00:00,986937.0
2023-09-09 00:00:00+00:00,1116330.0
2023-09-10 00:00:00+00:00,1049360.0
2023-09-11 00:00:00+00:00,1120614.0
2023-09-12 00:00:00+00:00,1042537.0
2023-09-13 00:00:00+00:00,1049105.0
2023-09-14 00:00:00+00:00,1131002.0
2023-09-15 00:00:00+00:00,1234300.0
2023-09-16 00:00:00+00:00,1053706.0
2023-09-17 00:00:00+00:00,1039207.0
2023-09-18 00:00:00+00:00,1125172.0
2023-09-19 00:00:00+00:00,1035954.0
2023-09-20 00:00:00+00:00,1062056.0
2023-09-21 00:00:00+00:00,1078476.0
2023-09-22 00:00:00+00:00,978848.0
2023-09-23 00:00:00+00:00,1090192.0
2023-09-24 00:00:00+00:00,1061159.0
2023-09-25 00:00:00+00:00,1104115.0
