date,BTC,ETH,BNB,SOL,XRP,DOGE,ADA,TRX,HYPE,LINK
2023-07-13,31454.5,2004.29,256.22,26.019,0.81544,0.07043,0.35748,0.08176,,7.13
2023-07-14,30310.1,1937.5,248.02,26.674,0.71805,0.06848,0.32775,0.07989,,6.956
2023-07-15,30291.8,1931.0,251.05,27.46,0.71446,0.07195,0.32603,0.08085,,6.918
2023-07-16,30231.3,1922.24,242.34,27.412,0.74716,0.06952,0.31454,0.07978,,6.606
2023-07-17,30136.3,1911.17,244.24,26.793,0.73745,0.06982,0.31178,0.07996,,7.188
2023-07-18,29858.0,1897.46,240.37,25.547,0.7779,0.06867,0.30938,0.07978,,6.913
2023-07-19,29911.8,1888.51,241.02,26.315,0.81994,0.07004,0.32266,0.08027,,6.913
2023-07-20,29808.3,1891.59,242.91,25.382,0.79443,0.07062,0.31587,0.08072,,8.36
2023-07-21,29900.4,1891.76,243.8,25.502,0.77122,0.0732,0.31286,0.08039,,8.133
2023-07-22,29787.5,1866.12,241.11,24.521,0.73297,0.07049,0.3101,0.08389,,7.881
2023-07-23,30082.8,1888.7,242.46,24.76,0.73845,0.07181,0.31714,0.0834,,7.889
2023-07-24,29177.4,1849.84,238.98,23.371,0.7021,0.07418,0.30515,0.08148,,7.59
2023-07-25,29226.6,1857.75,237.73,23.275,0.70894,0.08182,0.30367,0.08189,,7.394
2023-07-26,29351.1,1872.03,238.97,25.183,0.71619,0.07797,0.30688,0.08243,,7.745
2023-07-27,29222.1,1861.45,240.68,25.089,0.71388,0.07763,0.30773,0.08265,,7.989
2023-07-28,29314.8,1874.0,241.84,24.811,0.71199,0.07717,0.3098,0.0851,,7.774
2023-07-29,29352.1,1880.39,242.47,25.158,0.71221,0.08025,0.31291,0.08322,,7.843
2023-07-30,29282.1,1861.88,242.59,24.259,0.70466,0.07804,0.31574,0.08001,,7.556
2023-07-31,29233.3,1856.63,240.95,23.726,0.6977,0.07786,0.30713,0.07791,,7.549
2023-08-01,29707.1,1873.58,247.66,24.059,0.70724,0.07814,0.31024,0.07865,,7.633
2023-08-02,29184.6,1840.04,240.53,23.15,0.68513,0.07423,0.29939,0.0763,,7.352
2023-08-03,29192.4,1836.04,240.99,22.635,0.66303,0.07358,0.2923,0.07716,,7.124
2023-08-04,29112.9,1830.2,241.65,22.805,0.63562,0.07348,0.29345,0.0768,,7.144
2023-08-05,29072.0,1836.51,243.16,22.657,0.62892,0.07572,0.29368,0.07756,,7.229
2023-08-06,29086.8,1830.46,243.14,23.196,0.62431,0.07427,0.2923,0.07696,,7.104
2023-08-07,29214.3,1829.29,242.05,23.119,0.62344,0.07354,0.29096,0.07685,,7.327
2023-08-08,29773.2,1856.14,245.14,24.228,0.64174,0.07496,0.2974,0.07681,,7.46
2023-08-09,29583.9,1855.42,243.9,24.387,0.64337,0.07541,0.30125,0.07677,,7.678
2023-08-10,29455.2,1852.49,241.38,24.622,0.63315,0.07586,0.29633,0.07737,,7.614
2023-08-11,29429.6,1848.2,239.79,24.625,0.63176,0.07573,0.29337,0.07723,,7.492
2023-08-12,29430.1,1850.0,240.25,24.912,0.62775,0.07669,0.29202,0.07753,,7.443
2023-08-13,29302.0,1840.91,240.06,24.221,0.62592,0.07479,0.28958,0.07711,,7.374
2023-08-14,29432.0,1845.8,240.46,25.187,0.63417,0.07471,0.29066,0.07747,,7.413
2023-08-15,29201.4,1829.14,236.81,23.903,0.61033,0.07094,0.28206,0.07635,,7.048
2023-08-16,28730.8,1807.79,232.04,22.821,0.58896,0.06721,0.27477,0.07468,,6.761
2023-08-17,26621.0,1680.97,218.07,21.666,0.50627,0.06103,0.25519,0.07262,,6.194
2023-08-18,26055.6,1661.78,216.12,21.345,0.5061,0.06325,0.26376,0.07298,,6.174
2023-08-19,26101.8,1670.17,216.79,21.894,0.51993,0.06378,0.26875,0.07411,,6.18
2023-08-20,26190.8,1685.2,216.55,21.775,0.53854,0.06383,0.2704,0.07594,,6.219
2023-08-21,26128.1,1667.75,210.47,21.19,0.52433,0.06251,0.26279,0.07509,,6.178
2023-08-22,26056.7,1635.21,210.83,20.582,0.52095,0.06259,0.25859,0.07549,,6.113
2023-08-23,26436.1,1679.29,216.61,21.729,0.52995,0.06381,0.26802,0.07762,,6.352
2023-08-24,26179.9,1661.18,219.05,21.06,0.51873,0.06308,0.26583,0.07661,,6.086
2023-08-25,26061.6,1653.99,218.38,20.422,0.52566,0.06311,0.26122,0.07725,,6.013
2023-08-26,26022.2,1647.24,216.37,20.286,0.523,0.06289,0.26095,0.07746,,6.008
2023-08-27,26102.0,1658.34,218.32,20.793,0.52359,0.06317,0.26337,0.07757,,6.031
2023-08-28,26116.1,1653.23,218.7,20.565,0.52305,0.06344,0.26765,0.07636,,5.982
2023-08-29,27720.1,1729.46,226.79,21.791,0.53978,0.06639,0.27277,0.07733,,6.194
2023-08-30,27299.9,1705.5,223.75,20.816,0.52827,0.06587,0.26548,0.07566,,5.927
2023-08-31,25938.6,1645.81,216.55,19.737,0.51094,0.06381,0.25541,0.07674,,5.875
2023-09-01,25806.3,1629.11,213.59,19.326,0.4979,0.06389,0.25508,0.07608,,5.94
2023-09-02,25870.7,1637.34,214.35,19.492,0.49886,0.06347,0.25613,0.07699,,5.969
2023-09-03,25971.9,1635.93,214.35,19.569,0.50464,0.06318,0.25584,0.07702,,6.03
2023-09-04,25827.3,1630.68,215.23,19.529,0.50854,0.06324,0.25618,0.07752,,6.015
2023-09-05,25791.9,1634.47,214.54,20.265,0.50549,0.06403,0.25779,0.07747,,6.138
2023-09-06,25761.4,1632.93,215.14,19.634,0.50323,0.06365,0.25777,0.07895,,6.302
2023-09-07,26259.8,1648.12,217.1,19.91,0.50498,0.06365,0.25783,0.07917,,6.389
2023-09-08,25915.3,1636.52,214.62,19.606,0.50482,0.06371,0.25439,0.07918,,6.281
2023-09-09,25905.5,1636.01,214.2,19.444,0.50383,0.0634,0.25331,0.07917,,6.162
2023-09-10,25841.1,1617.24,212.35,18.232,0.4969,0.06132,0.24898,0.07832,,6.015
2023-09-11,25165.5,1552.0,206.25,17.73,0.47427,0.06048,0.24211,0.07755,,5.829
2023-09-12,25843.7,1592.96,210.73,17.916,0.48023,0.06088,0.24548,0.08075,,5.958
2023-09-13,26222.0,1607.63,212.53,18.387,0.48311,0.06127,0.24863,0.0812,,6.019
2023-09-14,26527.8,1626.48,212.13,18.851,0.48924,0.06207,0.25128,0.08375,,6.154
2023-09-15,26603.1,1641.36,214.01,19.145,0.5004,0.0625,0.25057,0.08403,,6.367
2023-09-16,26564.2,1634.3,214.81,19.117,0.4998,0.06214,0.25033,0.08353,,6.279
2023-09-17,26528.3,1622.64,216.39,18.812,0.49252,0.06148,0.24709,0.08335,,6.146
2023-09-18,26760.3,1637.0,215.93,19.65,0.50301,0.062,0.2516,0.08388,,6.566
2023-09-19,27209.9,1643.3,217.1,20.027,0.51378,0.06269,0.25479,0.08456,,6.846
2023-09-20,27120.3,1622.0,214.33,20.311,0.52112,0.06261,0.25173,0.08446,,6.905
2023-09-21,26566.1,1583.97,210.79,19.455,0.50705,0.06132,0.24511,0.08305,,6.663
2023-09-22,26579.9,1593.09,211.03,19.43,0.51232,0.06152,0.24495,0.08334,,6.956
2023-09-23,26576.2,1593.79,210.42,19.479,0.50763,0.06152,0.24614,0.08364,,7.189
2023-09-24,26248.5,1580.46,208.19,19.355,0.50212,0.06069,0.24279,0.08362,,6.983
2023-09-25,26302.7,1588.16,209.95,19.399,0.5054,0.06096,0.2459,0.08469,,7.492
2023-09-26,26220.3,1593.75,212.56,19.028,0.50176,0.06063,0.24542,0.08474,,7.361
2023-09-27,26371.9,1598.55,212.08,19.138,0.49933,0.06054,0.24459,0.0855,,7.643
2023-09-28,27023.7,1652.82,215.04,19.963,0.50968,0.0615,0.24883,0.08679,,7.809
2023-09-29,26909.9,1667.47,215.11,20.28,0.52142,0.06213,0.24934,0.08912,,7.947
2023-09-30,26961.7,1670.88,214.65,21.358,0.51487,0.06208,0.25394,0.08857,,8.189
2023-10-01,27995.2,1733.67,218.06,23.888,0.52412,0.0632,0.26587,0.09011,,8.051
2023-10-02,27497.2,1662.58,214.54,23.384,0.51222,0.06201,0.25911,0.08744,,7.464
2023-10-03,27425.8,1656.91,213.37,23.605,0.53884,0.06139,0.26102,0.09068,,7.413
